,Unnamed: 0,page,country,rev_id,score
27662,27423,Dmitry Kobylkin,Russia,789329107,Stub
27663,27424,Mikhail Krotov,Russia,789329117,Stub
27664,27425,Ivan Melnikov (politician),Russia,789329208,Stub
27665,27426,Yevgeny Nazdratenko,Russia,789329234,Stub
27666,27427,Grigory Petrov,Azerbaijan,789329253,Stub
27667,27428,Mahmoud Sakalov,Russia,789329290,Stub
27668,27429,Georgy Satarov,Russia,789329303,Stub
27669,27430,Sergei Sobko,Russia,789329326,Stub
27670,27431,Vladimir Ustinov,Russia,789329389,Start
27671,27432,Nikolay Vinnichenko,Russia,789329395,Stub
27672,27433,Oleg Budargin,Russia,789329862,Stub
27673,27434,Igor Farkhutdinov,Russia,789329877,Stub
27674,27435,Nikolay Kiselyov (politician),Russia,789329907,Stub
27675,27436,Vladimir Kulakov,Russia,789329923,Stub
27676,27437,Yevgeny Semyonovich Kuznetsov,Russia,789329929,Stub
27677,27438,Anatoly Lisitsyn,Russia,789329932,Start
27678,27439,Magomedali Magomedov,Dagestani,789329935,Start
27679,27440,Ivan Malakhov,Russia,789329939,Stub
27680,27441,Nikolai Sevryugin,Russia,789329960,Stub
27681,27442,Valery Sudarenkov,Russia,789329980,Start
27682,27443,Semyon Zubakin,Russia,789330014,Stub
27683,27444,Jean-Hilaire Aubame,Gabon,789331731,FA
27684,27445,Alexander Alexeyevich Chekalin,Russia,789331995,Start
27685,27446,Viktor Dorkin,Russia,789332000,Stub
27686,27447,Sergey Koliukh,Russia,789332006,Stub
27687,27448,Dmitry Mezentsev,Russia,789332017,Stub
27688,27449,Andrey Rostenko,Russia,789332044,Stub
27689,27450,Nina Varlamova,Russia,789332057,Start
27690,27451,Stella Dupont,France,789332144,Stub
27691,27452,Munif al-Razzaz,Syria,789332149,GA
27692,27453,August Borms,Belgium,789332316,C
27693,27454,Victor Matthys,Belgium,789332337,Start
27694,27455,László Baky,Hungary,789332385,Start
27695,27456,László Endre,Hungary,789332399,B
27696,27457,Stanisław Adamski,Poland,789332720,Stub
27697,27458,Astrid Krag,Denmark,789332776,Start
27698,27459,Józef Borzyszkowski,Poland,789333281,Stub
27699,27460,Zbigniew Bujak,Poland,789333285,Start
27700,27461,Adam Jerzy Czartoryski,Russia,789333310,C
27701,27462,Jan Dembowski (biologist),Poland,789333320,Stub
27702,27463,Jan Dołęga-Zakrzewski,Poland,789333326,Stub
27703,27464,Mikołaj Dowgielewicz,Poland,789333327,Stub
27704,27465,Mirosław Drzewiecki,Poland,789333341,Start
27705,27466,Radosław Fogiel,Poland,789333347,Stub
27706,27467,Andrzej Gąsienica-Makowski,Poland,789333351,Stub
27707,27468,Siegmund Glücksmann,Germany,789333355,C
27708,27469,Yitzhak Gruenbaum,Israel,789333368,C
27709,27470,Henryk Józewski,Poland,789333428,B
27710,27471,Janusz Kaczmarek,Poland,789333433,Start
27711,27472,Filip Kaczyński,Poland,789333444,Stub
27712,27473,Stanisław Kluza,Poland,789333468,Start
27713,27474,Franciszek Antoni Kwilecki,Poland,789333503,Stub
27714,27475,Franciszek Malinowski (activist),Poland,789333545,Stub
27715,27476,Stefan Meller,Poland,789333559,Stub
27716,27477,Stanisław Michalkiewicz,Poland,789333566,Start
27717,27478,Leszek Moczulski,Poland,789333569,C
27718,27479,Tomasz Nałęcz,Poland,789333584,Stub
27719,27480,Mieczysław Niedziałkowski,Poland,789333586,Stub
27720,27481,Janusz Pałubicki,Poland,789333631,Stub
27721,27482,Janusz Piechociński,Poland,789333636,Stub
27722,27483,Krzysztof Mikołaj Radziwiłł,Poland,789333683,Stub
27723,27484,Elżbieta Rafalska,Poland,789333688,Stub
27724,27485,Wincenty Rzymowski,Poland,789333700,Stub
27725,27486,Eustachy Sapieha,Poland,789333709,Start
27726,27487,Władysław Sidorowicz,Poland,789333723,Stub
27727,27488,Mikołaj Sieniawski,Poland,789333725,Start
27728,27489,Ryszard Stanibuła,Poland,789333771,Stub
27729,27490,Andrzej Stelmachowski,Poland,789333780,Start
27730,27491,Michał Szczerba,Poland,789333795,Stub
27731,27492,Janusz Tomaszewski,Poland,789333814,Stub
27732,27493,Piotr Woźniak (politician),Poland,789333836,Stub
27733,27494,Paweł Wypych,Poland,789333850,Stub
27734,27495,Michał Zaleski,Poland,789333858,Stub
27735,27496,Stanisław Kostka Zamoyski,Poland,789333862,Stub
27736,27497,Abdul Aziz Abdul Kadir,Malaysia,789334760,Start
27737,27498,Abd. Aziz Sheikh Fadzir,Malaysia,789334778,Start
27738,27499,Amran Abdul Ghani,Malaysia,789334851,Start
27739,27500,Abdul Halim Abdul Rahman,Malaysia,789334867,Stub
27740,27501,Abdul Manan Ismail,Malaysia,789334898,Start
27741,27502,Paul Vachon,Canada,789335355,C
27742,27503,Guillaume Kasbarian,France,789335987,Stub
27743,27504,Alice Thourot,France,789336087,Stub
27744,27505,Annette Lovemore,South Africa,789336816,Start
27745,27506,Eugenio Arbones,Spain,789338194,Stub
27746,27507,Anni Flinck,Finland,789339395,Stub
27747,27508,Anni Savolainen-Tapaninen,Finland,789339474,Stub
27748,27509,Gabriel Serville,French Guiana,789340739,Stub
27749,27510,Annie Chidzira Muluzi,Malawi,789341804,Start
27750,27511,Julio Canessa,Chile,789343679,Stub
27751,27512,Luis Giannattasio,Uruguay,789343739,Stub
27752,27513,Feliciano Viera,Uruguay,789345179,Stub
27753,27514,Annie Okonkwo,Nigeria,789345193,Start
27754,27515,Louis Weichardt,South Africa,789345491,Stub
27755,27516,Abdul Rahman Bakri,Malaysia,789352303,Start
27756,27517,Ali Ameer,Sri Lanka,789353340,Stub
27757,27518,Mohd Abdul Wahid Endut,Malaysia,789353851,Start
27758,27519,Abdullah Sani Abdul Hamid,Malaysia,789353879,Start
27759,27520,Abu Seman Yusop,Malaysia,789353921,Start
27760,27521,Abu Zahar Ithnin,Malaysia,789353928,Stub
27761,27522,Ahmad Hamzah,Malaysia,789353954,Start
27762,27523,Abdullah Ahmad,Malaysia,789354060,Stub
27763,27524,Ayikoi Otoo,Ghana,789354859,Start
27764,27525,Raymond Barre,France,789354886,C
27765,27526,Shamsul Anuar Nasarah,Malaysia,789355978,Stub
27766,27527,Ano Pala,Papua New Guinea,789356160,Start
27767,27528,"Gábor Kemény (politician, 1910–1946)",Hungary,789356403,Stub
27768,27529,Lee Fu-hsing,Taiwan,789357267,Start
27769,27530,Shafie Apdal,Malaysia,789358957,Start
27770,27531,Asri Muda,Malaysia,789358974,Start
27771,27532,Awang Hassan,Malaysia,789358984,Start
27772,27533,Tengku Azlan,Malaysia,789359053,Start
27773,27534,Baharum Mohamed,Malaysia,789359057,Stub
27774,27535,Jugah Barieng,Malaysia,789359064,Start
27775,27536,Bernard Sta Maria,Malaysia,789359068,Start
27776,27537,Boo Cheng Hau,Malaysia,789359077,Stub
27777,27538,Chan Seng Khai,Malaysia,789359095,Stub
27778,27539,Che Rosli,Malaysia,789359102,Start
27779,27540,Che Uda,Malaysia,789359109,Stub
27780,27541,Chong Hon Nyan,Malaysia,789359135,Stub
27781,27542,Sulaiman Daud,Malaysia,789359179,Stub
27782,27543,Zakaria Deros,Malaysia,789359186,Start
27783,27544,K. L. Devaser,Malaysia,789359200,Start
27784,27545,Rashid Din,Malaysia,789359211,Stub
27785,27546,John Fernandez (Malaysian politician),Malaysia,789359280,Start
27786,27547,Mohd Firdaus Jaafar,Malaysia,789359287,Stub
27787,27548,Tajol Rosli Mohd Ghazali,Malaysia,789359338,Stub
27788,27549,Hamdan Sheikh Tahir,Malaysia,789359385,Stub
27789,27550,Hamim Samuri,Malaysia,789359397,Stub
27790,27551,Hasan Malek,Malaysia,789359434,Start
27791,27552,Mohamad Hasan (politician),Malaysia,789359444,Stub
27792,27553,Hassan Yunus,Malaysia,789359483,Stub
27793,27554,Mohd Hatta Ramli,Malaysia,789359488,Stub
27794,27555,Mohd Hayati Othman,Malaysia,789359494,Start
27795,27556,Hee Loy Sian,Malaysia,789359500,Stub
27796,27557,Burhanuddin al-Helmy,Malaysia,789359511,Start
27797,27558,Hiew King Cheu,Malaysia,789359520,Start
27798,27559,Husam Musa,Malaysia,789359554,Start
27799,27560,Mohammed Zaman,Afghanistan,789359940,C
27800,27561,Irmohizam Ibrahim,Malaysia,789360742,Start
27801,27562,Mohd Idris Jusi,Malaysia,789360791,Stub
27802,27563,Ismail Mohamed Said,Malaysia,789360825,Stub
27803,27564,Ismail Muttalib,Malaysia,789360834,Stub
27804,27565,Saifuddin Nasution Ismail,Malaysia,789360871,Start
27805,27566,Mohd Jidin Shafee,Malaysia,789360940,Start
27806,27567,Johari Abdul,Malaysia,789360947,Stub
27807,27568,P. Kamalanathan,Malaysia,789360991,Start
27808,27569,Kamarul Baharin Abbas,Malaysia,789361000,Stub
27809,27570,Jeffrey Kitingan,Malaysia,789361160,Start
27810,27571,S. Krishnasamy,Malaysia,789361232,Stub
27811,27572,Joseph Kurup,Malaysia,789361239,Start
27812,27573,Lai Meng Chong,Malaysia,789361260,Stub
27813,27574,Robert Lau Hoi Chew,Malaysia,789361299,Start
27814,27575,Alice Lau Kiong Yieng,Malaysia,789361328,Stub
27815,27576,Lee Boon Chye,Malaysia,789361366,Start
27816,27577,Lee Ying Ha,Malaysia,789361388,Stub
27817,27578,Lee Lam Thye,Malaysia,789361400,Stub
27818,27579,Yong Teck Lee,Malaysia,789361417,Stub
27819,27580,Lilah Yasin,Malaysia,789361465,Start
27820,27581,Malcom Mussen Lamoh,Malaysia,789361653,Stub
27821,27582,S. Manikavasagam,Malaysia,789361667,Start
