,Unnamed: 0,page,country,rev_id,score
40463,40033,Ananda Syahendar Perdana,Indonesia,802475516,
40501,40067,Ezatullah Mujahid,Afghanistan,802515929,
40816,40379,Maciej Filip Zegarski,Poland,802765034,
40967,40526,Bernard Binlin Dadié,Ivorian,802904214,
41019,40576,Than Htay,Myanmar,802937732,
41440,40994,Anatoliy Peshko,Ukraine,803413615,
41527,41078,Kevin Hardwick,United States,803484030,
41839,41386,David Sparrow,Canada,803784385,
42179,41721,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,
42276,41815,João Victor Guedes,Brazil,804118645,
42344,41879,Kampa Borgoyary,India,804158476,
42725,42256,Lucia Lucchesi-Ghiselli,Italy,804473605,
42983,42510,Lib Peck,United Kingdom,804697858,
43082,42605,Dudley–Winthrop family,United States,804791599,
43318,42838,Larry A. Kaczala,United States,804941978,
43335,42851,William M. Rainach,United States,804945338,
43352,42864,David J. Dwork,United States,804946658,
43538,43046,Ron Crickenberger,United States,805031334,
43554,43058,Lav Grigorije Pajkić,Serbia,805041930,
43803,43304,Richards–Young family,United States,805211553,
44101,43598,Ian Axton,United Kingdom,805420467,
44275,43769,Dennis Shea (lawyer),United States,805517427,
44525,44015,Kamrul Hasan Nasim,Bangladesh,805697623,
44660,44147,Political positions of Pat Buchanan,United States,805788048,
44908,44392,Hossein Khan Movaghar,Iran,805936041,
44964,44444,Ali Asghar Mousapasandi,Iran,805970954,
44995,44471,Valeriy Panasenko,Moldova,805993160,
45057,44529,Edivaldo Holanda Júnior,Brazil,806030859,
45281,44754,Rajah Alon,Philippines,806179522,
45371,44840,Golam Mohammad Rabbani,Bangladesh,806223655,
45631,45099,Mohammed Naguib,Egypt,806372496,
45687,45148,Phillip Jackson,United States,806403304,
45912,45369,Valeriu Turea,Moldova,806542084,
46174,45628,Rajah Gambang,Philippines,806695084,
46205,45655,Claudia Cruz Santiago,Mexico,806708318,
46390,45837,Olajide Awosedo,Nigeria,806811023,
46717,46160,William McMahon,Australia,807000274,
46976,46416,Dirtbag Left,United States,807161510,
47073,46509,Guy Georgias,Zimbabwe,807196681,
47350,46782,John Rose (Trotskyist),United Kingdom,807336308,
47434,46862,Jalal Movaghar,Iran,807367030,
47439,46863,Mohsen Movaghar,Iran,807367166,
47761,47182,King Gutierrez,Philippines,807479587,
47779,47196,Ajay Kannoujiya,India,807484325,
